"Name","X0.to.4","X5.to.9","X10.to.14","X15.to.19","X20.to.24","X25.to.29","X30.to.34","X35.to.39","X40.to.44","X45.to.49","X50.to.54","X55.to.59","X60.to.64","X65.to.69","X70.to.74","X75.plus"
"p_C",0.1809,0.1809,0.1809,0.1809,0.2241,0.2241,0.2241,0.2241,0.3054,0.3054,0.3054,0.3054,0.3546,0.3546,0.3546,0.5001
"p_H",0.000632689,0.000539148,0.00099564,0.002035807,0.004545371,0.008748134,0.013802147,0.019850725,0.024607803,0.032822485,0.049084367,0.061571007,0.086379194,0.099452536,0.124208801,0.151599
"p_H_D",0.125893251,0.12261338,0.135672867,0.152667869,0.174303077,0.194187895,0.209361731,0.224432564,0.237013516,0.257828065,0.290874602,0.320763971,0.362563751,0.390965457,0.421151485,0.46477
"p_sero_pos",0.8212394,0.8212394,0.8212394,0.8212394,0.8212394,0.8212394,0.8212394,0.8212394,0.8212394,0.8212394,0.8212394,0.8212394,0.8212394,0.8212394,0.8212394,0.8212394
"p_G_D",0.251786502,0.24522676,0.271345734,0.305335738,0.348606154,0.38837579,0.418723462,0.448865128,0.474027032,0.51565613,0.581749204,0.641527942,0.725127502,0.781930914,0.84230297,0.92954
"p_R",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"p_star",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"p_sev",0.0044654,0.0007999,0.0009952,0.0019536,0.0038601,0.0057085,0.0080305,0.0076202,0.0085949,0.0100463,0.0169734,0.0229917,0.0321515,0.0407797,0.0733279,0.1261367
"p_outpx",0.1809,0.1809,0.1809,0.1809,0.2241,0.2241,0.2241,0.2241,0.3054,0.3054,0.3054,0.3054,0.3546,0.3546,0.3546,0.5001
"p_D_hosp",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
